type	latitude	longitude	eos	name	desc	kml_folder
T	59.274140954	17.935524781				
T	59.275265117	17.936480215				
T	59.276675351	17.937950055				
T	59.277809149	17.939456515				
T	59.278649998	17.939900141				
T	59.279785073	17.941408236				
T	59.282073332	17.945527863				
T	59.282637884	17.946008472				
T	59.284340605	17.948001854				
T	59.285766104	17.950031789				
T	59.288030215	17.951960734				
T	59.288876059	17.952409145				
T	59.290289363	17.953340895				
T	59.291431957	17.954859322				
T	59.293190785	17.960175232				
T	59.294062860	17.962283119				
T	59.294935331	17.964392156				
T	59.295535613	17.967087788				
T	59.296448096	17.971961841				
T	59.296471691	17.973619517				
T	59.296791598	17.976350093				
T	59.297415731	17.980707313				
T	59.297447045	17.982918038				
T	59.297509563	17.987339458				
T	59.297540767	17.989550117				
T	59.297556356	17.990655458				
T	59.297595287	17.993418739				
T	59.297641930	17.996734653				
T	59.297665220	17.998392603				
T	59.297734968	18.003366346				
T	59.297750442	18.004471623				
T	59.298077610	18.007758103				
T	59.298389327	18.009939692				
T	59.298724156	18.013779967				
T	59.299028187	18.015409668				
T	59.299347612	18.018145366				
T	59.299089645	18.019832113				
T	59.298012112	18.023260404				
T	59.297185265	18.024448853				
T	59.296647003	18.026161341				
T	59.295828453	18.027900610				
T	59.293897184	18.030299673				
T	59.292777184	18.030408332				
T	59.291657931	18.030516905				
T	59.291098581	18.030571159				
T	59.289127102	18.029658957				
T	59.288289412	18.029740489				
T	59.286894191	18.029876268				
T	59.286050000	18.029407252				
T	59.284656629	18.029543070				
T	59.283542766	18.029651628				
T	59.282715463	18.030282808				
T	59.281077276	18.032643124				
T	59.278877820	18.034504921				
T	59.278052825	18.035133767				
T	59.276950940	18.035788780				
T	59.275849782	18.036443301				
T	59.274472469	18.037123700				
T	59.272535552	18.037308074				
T	59.271429746	18.037413318				
T	59.270048512	18.037544758				
T	59.268668423	18.037676069				
T	59.266745752	18.038406611				
T	59.263999687	18.039214416				
T	59.263174487	18.039292587				
T	59.262349694	18.039370712				
T	59.260983471	18.040046691				
T	59.259351507	18.041293517				
T	59.257980221	18.041422610				
T	59.256891521	18.042070926				
T	59.255818560	18.043808641				
T	59.255574807	18.046013739				
T	59.255353512	18.049852919				
T	59.254577444	18.053196020				
T	59.254880888	18.055350189				
T	59.255184339	18.057504734				
T	59.255221553	18.060228557				
T	59.255280976	18.064586622				
T	59.255584330	18.066742148				
T	59.256168888	18.069419623				
T	59.256213242	18.072688990				
T	59.256272251	18.077048110				
T	59.256316410	18.080317420				
T	59.256338458	18.081952067				
T	59.256116016	18.085788009				
T	59.255590509	18.087465765				
T	59.255605147	18.088555224				
T	59.255360722	18.090755461				
T	59.255116295	18.092955294				
T	59.254612898	18.096264707				
T	59.253296728	18.100178768				
T	59.253037969	18.101287682				
T	59.252261881	18.104613236				
T	59.251220331	18.108500618				
T	59.251249207	18.110676122				
T	59.250732211	18.112890250				
T	59.250222552	18.115647249				
T	59.249964158	18.116753564				
T	59.248923783	18.120633379				
T	59.247109826	18.127823632				
T	59.245806043	18.132256040				
T	59.244760822	18.135582037				
T	59.243444539	18.138922565				
T	59.242100963	18.140091478				
T	59.240487282	18.141276039				
T	59.238604271	18.142475908				
T	59.236723402	18.143674276				
T	59.235378202	18.144297501				
T	59.234048158	18.146001574				
T	59.233252046	18.147131402				
T	59.232442269	18.147179793				
T	59.231902633	18.147212039	1			
T	59.261444495	18.047557130				
T	59.262243535	18.047446510				
T	59.263310756	18.047298745				
T	59.264023400	18.047200063				
T	59.264647731	18.047113602				
T	59.265724556	18.047321214				
T	59.266082344	18.047271777				
T	59.266711478	18.047363379				
T	59.267162000	18.047479810				
T	59.267882138	18.047559263				
T	59.268510900	18.047472678				
T	59.268693123	18.047626454				
T	59.268962904	18.047589346				
T	59.269322819	18.047539838				
T	59.269955687	18.047631862				
T	59.270591730	18.047902850				
T	59.271045446	18.048019920				
T	59.271406732	18.047970456				
T	59.272134917	18.048229644				
T	59.272682909	18.048513865				
T	59.273324551	18.048965365				
T	59.273780520	18.049083177				
T	59.274516737	18.049702705				
T	59.274791843	18.049845465				
T	59.275433473	18.050118969				
T	59.276078296	18.050572569				
T	59.276263020	18.050727952				
T	59.277096250	18.051517800				
T	59.277281307	18.051673489				
T	59.277839301	18.052320935				
T	59.278400296	18.053149186				
T	59.279050996	18.053786084				
T	59.279422462	18.054098844				
T	59.279794174	18.054411823				
T	59.280265288	18.055254480				
T	59.280642458	18.055929129				
T	59.281111817	18.056592492				
T	59.281487092	18.057087454				
T	59.281862614	18.057582760				
T	59.282240835	18.058259177				
T	59.282616855	18.058755222				
T	59.282900870	18.059263139				
T	59.283469319	18.060279761				
T	59.284030979	18.060754211				
T	59.284500683	18.061240528				
T	59.284975678	18.062089723				
T	59.285070724	18.062259648				
T	59.285453512	18.063120950				
T	59.286022042	18.063960513				
T	59.286593584	18.064982432				
T	59.286974927	18.065664297				
T	59.287351624	18.065983396				
T	59.287640433	18.066677018				
T	59.288017572	18.066996664				
T	59.288588648	18.067840178				
T	59.288875624	18.068353191				
T	59.289349338	18.068844922				
T	59.289921744	18.069690403				
T	59.290300401	18.070011751				
T	59.290681761	18.070515476				
T	59.290873760	18.070858572				
T	59.291731199	18.071856937				
T	59.292209745	18.072533871				
T	59.292589930	18.072856863				
T	59.292972820	18.073362624				
T	59.293447507	18.073675727				
T	59.293734470	18.074009858				
T	59.294402980	18.074668308				
T	59.295072277	18.075327563				
T	59.295643087	18.075631865				
T	59.296214475	18.075936490				
T	59.296788896	18.076424601				
T	59.297456110	18.076719777				
T	59.297932125	18.076852257				
T	59.298313719	18.076995005				
T	59.299077683	18.077280798				
T	59.299457599	18.077240219				
T	59.300125531	18.077352872				
T	59.300598899	18.077118306				
T	59.300979852	18.077077609				
T	59.301265736	18.077047067				
T	59.301647143	18.077006319				
T	59.302312770	18.076750830				
T	59.302886051	18.076689477				
T	59.303268565	18.076648538				
T	59.303747075	18.076597322				
T	59.303752002	18.076966026				
T	59.303158408	18.082748819				
T	59.302376736	18.088726777				
T	59.301840708	18.091541510				
T	59.301755078	18.092286289				
T	59.301980975	18.109394656				
T	59.302384469	18.111021456				
T	59.302592352	18.112295409				
T	59.302800294	18.113569808				
T	59.303010708	18.115028765				
T	59.303223589	18.116672377				
T	59.303659142	18.120698157				
T	59.303774073	18.122165603				
T	59.303891411	18.123817545				
T	59.303898620	18.124370268				
T	59.303913031	18.125475712				
T	59.303929834	18.126765395				
T	59.303956215	18.128792033				
T	59.303968198	18.129713230				
T	59.303994538	18.131739860				
T	59.304011286	18.133029532				
T	59.304020851	18.133766486				
T	59.304032802	18.134687678				
T	59.304145254	18.135972331				
T	59.304494575	18.140749152				
T	59.304609433	18.142219105				
T	59.304855802	18.146450242				
T	59.305099762	18.150498485				
T	59.305216992	18.152154344				
T	59.305224100	18.152707544				
T	59.304847718	18.153274719				
T	59.305353159	18.155285826				
T	59.305460919	18.156204671				
T	59.305854276	18.156929713				
T	59.306163653	18.158581111				
T	59.306377068	18.160236268				
T	59.306588179	18.161707402				
T	59.306696115	18.162627793				
T	59.306909668	18.164284404				
T	59.307116206	18.165387519				
T	59.307322807	18.166491025				
T	59.307527116	18.167410159				
T	59.307536534	18.168149205				
T	59.307644595	18.169070904				
T	59.307658711	18.170179571				
T	59.307771480	18.171471124				
T	59.307783230	18.172395099				
T	59.307802018	18.173873463				
T	59.307827827	18.175906217				
T	59.307844237	18.177199796				
T	59.307952287	18.178122474				
T	59.308079076	18.180523964				
T	59.308095448	18.181817786				
T	59.308203510	18.182741045				
T	59.308306912	18.183294742				
T	59.308316257	18.184034206				
T	59.308422008	18.184772949				
T	59.308534776	18.186066522				
T	59.308640554	18.186805580				
T	59.308746346	18.187544773				
T	59.308948649	18.188283688				
T	59.309256891	18.189762588				
T	59.309466347	18.191057372				
T	59.309671208	18.191982460				
T	59.309873806	18.192722764				
T	59.310182480	18.194204041				
T	59.310387569	18.195130271				
T	59.310488976	18.195500899				
T	59.310595049	18.196242064				
T	59.310901738	18.197539934				
T	59.311109378	18.198652658				
T	59.311416313	18.199951757				
T	59.311524850	18.200879304				
T	59.311730360	18.201807811				
T	59.311838941	18.202735777				
T	59.311952173	18.204034814				
T	59.312259493	18.205336298				
T	59.312560009	18.206081827				
T	59.312765845	18.207012097				
T	59.313379115	18.209433555				
T	59.313589844	18.210736551				
T	59.313897958	18.212041716				
T	59.314303614	18.213349406				
T	59.314619013	18.215213769				
T	59.314929936	18.216707269				
T	59.314934555	18.217079152				
T	59.314953023	18.218566698				
T	59.314966865	18.219682366				
T	59.314985308	18.221169940				
T	59.314813349	18.223024050				
T	59.314827156	18.224139548				
T	59.314845553	18.225626895				
T	59.314866232	18.227300169				
T	59.314977502	18.228418858				
T	59.315088785	18.229537754				
T	59.315515699	18.232527197				
T	59.315720084	18.233278492				
T	59.315929118	18.234402251				
T	59.316138216	18.235526419				
T	59.316442830	18.236468719				
T	59.316552032	18.237403591				
T	59.316966113	18.239282120				
T	59.317077677	18.240403961				
T	59.317282564	18.241157715				
T	59.317795078	18.243043284				
T	59.318002485	18.243984433				
T	59.318408371	18.245121732				
T	59.318711824	18.245881959				
T	59.319115908	18.246834034				
T	59.319419723	18.247595207				
T	59.319817442	18.247988267				
T	59.320121621	18.248750247				
T	59.320320689	18.248947068				
T	59.321023676	18.250103904				
T	59.321424784	18.250685461				
T	59.321624303	18.250882863				
T	59.322030398	18.251839252				
T	59.322530983	18.252427304				
T	59.322832000	18.252817838				
T	59.323436792	18.253786905				
T	59.323839572	18.254371063				
T	59.324244918	18.255143131				
T	59.324749710	18.255921428				
T	59.325054167	18.256501328				
T	59.325568800	18.258031680				
T	59.326174146	18.258818148				
T	59.326278144	18.259199757				
T	59.326689748	18.260351093				
T	59.327719990	18.263233098				
T	59.328647578	18.265737314				
T	59.329365205	18.267290249				
T	59.329876697	18.268266089				
T	59.329979050	18.268461372	1			
T	59.301686821	18.032262198				
T	59.301992746	18.033207457				
T	59.302201125	18.034164488				
T	59.302512497	18.035502616				
T	59.302710593	18.035676261				
T	59.303310475	18.036589821				
T	59.303812987	18.037515329				
T	59.304011492	18.037689497				
T	59.304604792	18.038016001				
T	59.305299443	18.038528314				
T	59.305596643	18.038691912				
T	59.306194085	18.039215959				
T	59.306592702	18.039565621				
T	59.306994180	18.040112250				
T	59.307297414	18.040670058				
T	59.307901708	18.041589612				
T	59.308301419	18.041940562				
T	59.308703990	18.042488759				
T	59.308517005	18.043298035				
T	59.308519611	18.043495018				
T	59.308236635	18.044511427				
T	59.307686667	18.047723669				
T	59.307406668	18.048934997				
T	59.307028349	18.050155713				
T	59.306184451	18.053390701				
T	59.305543225	18.056994728				
T	59.305173784	18.058799763				
T	59.305191806	18.060174373				
T	59.305222664	18.062530828				
T	59.305248346	18.064494520				
T	59.305077756	18.066475437				
T	59.305093130	18.067653437				
T	59.305111052	18.069027764				
T	59.305121287	18.069813088				
T	59.305051303	18.071980875				
T	59.305061518	18.072766128				
T	59.305084485	18.074532931				
T	59.305104879	18.076103411				
T	59.305205534	18.076291926	1			
T	59.308649449	18.042856309				
T	59.308869669	18.042821441				
T	59.309370258	18.043080547				
T	59.310986647	18.043730399				
T	59.311880189	18.043930682				
T	59.312949991	18.044558645				
T	59.313904113	18.044638840				
T	59.314691244	18.044631571				
T	59.315144137	18.044789826				
T	59.315766881	18.044922465				
T	59.316105479	18.044870699				
T	59.316728771	18.044889637				
T	59.317068488	18.044837760				
T	59.317580317	18.044874004				
T	59.318263643	18.044884321				
T	59.318666633	18.045166795				
T	59.319238327	18.045194777				
T	59.319696787	18.045240119				
T	59.320329284	18.045374278				
T	59.320673205	18.045322355				
T	59.321074955	18.045261699				
T	59.321534775	18.045192272				
T	59.321880112	18.045140128				
T	59.322225857	18.045087920				
T	59.322514287	18.045044365				
T	59.322974848	18.044859339				
T	59.323264015	18.044815611				
T	59.323669327	18.044754317				
T	59.324481628	18.044631468				
T	59.324655983	18.044605097				
T	59.324948328	18.044676750				
T	59.325297694	18.044623976				
T	59.325707335	18.044678119				
T	59.325999193	18.044634086				
T	59.326408279	18.044572365				
T	59.326642295	18.044537057				
T	59.326993670	18.044484039				
T	59.327521512	18.044404391				
T	59.327815165	18.044360078				
T	59.327932708	18.044342340				
T	59.328287144	18.044405387				
T	59.328758343	18.044334370				
T	59.329349926	18.044361949				
T	59.329765193	18.044416265				
T	59.330597464	18.044525124				
T	59.331073870	18.044570775				
T	59.331551035	18.044616494				
T	59.332088565	18.044653381				
T	59.332446430	18.044599922				
T	59.332985571	18.044636846				
T	59.333765361	18.044638121				
T	59.334066769	18.044710890				
T	59.334308422	18.044792661				
T	59.334670492	18.044856651				
T	59.335034542	18.045038362				
T	59.335276970	18.045120394				
T	59.336008513	18.045602568				
T	59.336316804	18.046029791				
T	59.336685924	18.046448653				
T	59.336929673	18.046531490				
T	59.337302624	18.047187261				
T	59.337366371	18.047414738				
T	59.337674474	18.047725679				
T	59.338169938	18.048365755				
T	59.338419515	18.048804492				
T	59.338919268	18.049683037				
T	59.339291513	18.050105942				
T	59.339541989	18.050546198				
T	59.339726882	18.050639508				
T	59.340676264	18.052888025				
T	59.341368604	18.054105463				
T	59.341616096	18.054192082				
T	59.341805334	18.054524749				
T	59.342119433	18.054960635				
T	59.342495531	18.055389015				
T	59.342941607	18.056405897				
T	59.343320247	18.056954995				
T	59.343643626	18.057989772				
T	59.343965775	18.058906243				
T	59.344223104	18.059592327				
T	59.344291344	18.060062520				
T	59.344620332	18.061458979				
T	59.344887470	18.062864083				
T	59.344895213	18.063461798				
T	59.345097244	18.064636144				
T	59.345230964	18.065339706				
T	59.345363186	18.065923925				
T	59.345434731	18.066634865				
T	59.345640156	18.068050499				
T	59.345834874	18.068629019				
T	59.345903412	18.069101297				
T	59.346102921	18.070039662				
T	59.346499196	18.071678468				
T	59.346897480	18.073439209				
T	59.347097569	18.074380371				
T	59.347358875	18.075196182				
T	59.347617302	18.075772582				
