NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
TotCapacityAnn,103.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2044.0,ResidualCapacity,,
TotCapacityAnn,77.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2045.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2046.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2047.0,ResidualCapacity,,
TotCapacityAnn,40.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2048.0,ResidualCapacity,,
TotCapacityAnn,30.0,,STOCKHOLM,,,,,,,,,,HgldP3468,2049.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2023.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2024.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2025.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2026.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2027.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2028.0,ResidualCapacity,,
TotCapacityAnn,220.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2029.0,ResidualCapacity,,
TotCapacityAnn,189.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2030.0,ResidualCapacity,,
TotCapacityAnn,157.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2031.0,ResidualCapacity,,
TotCapacityAnn,126.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2032.0,ResidualCapacity,,
TotCapacityAnn,94.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2033.0,ResidualCapacity,,
TotCapacityAnn,63.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2034.0,ResidualCapacity,,
TotCapacityAnn,31.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2035.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2036.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2037.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2038.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2039.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2040.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2041.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2042.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2043.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2044.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2045.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2046.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2047.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2048.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HmrbySEWHP,2049.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2023.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2024.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2025.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2026.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2027.0,ResidualCapacity,,
TotCapacityAnn,320.0,,STOCKHOLM,,,,,,,,,,VVNHP,2028.0,ResidualCapacity,,
TotCapacityAnn,282.0,,STOCKHOLM,,,,,,,,,,VVNHP,2029.0,ResidualCapacity,,
TotCapacityAnn,243.0,,STOCKHOLM,,,,,,,,,,VVNHP,2030.0,ResidualCapacity,,
TotCapacityAnn,205.0,,STOCKHOLM,,,,,,,,,,VVNHP,2031.0,ResidualCapacity,,
TotCapacityAnn,156.0,,STOCKHOLM,,,,,,,,,,VVNHP,2032.0,ResidualCapacity,,
TotCapacityAnn,107.0,,STOCKHOLM,,,,,,,,,,VVNHP,2033.0,ResidualCapacity,,
TotCapacityAnn,59.0,,STOCKHOLM,,,,,,,,,,VVNHP,2034.0,ResidualCapacity,,
TotCapacityAnn,63.65254418019246,,STOCKHOLM,,,,,,,,,,VVNHP,2035.0,ResidualCapacity,,
TotCapacityAnn,132.30551797427762,,STOCKHOLM,,,,,,,,,,VVNHP,2036.0,ResidualCapacity,,
TotCapacityAnn,165.30130086798778,,STOCKHOLM,,,,,,,,,,VVNHP,2037.0,ResidualCapacity,,
TotCapacityAnn,214.07197896299556,,STOCKHOLM,,,,,,,,,,VVNHP,2038.0,ResidualCapacity,,
TotCapacityAnn,265.50527013620456,,STOCKHOLM,,,,,,,,,,VVNHP,2039.0,ResidualCapacity,,
TotCapacityAnn,317.16356406497295,,STOCKHOLM,,,,,,,,,,VVNHP,2040.0,ResidualCapacity,,
TotCapacityAnn,386.2649343296495,,STOCKHOLM,,,,,,,,,,VVNHP,2041.0,ResidualCapacity,,
TotCapacityAnn,429.6709486126703,,STOCKHOLM,,,,,,,,,,VVNHP,2042.0,ResidualCapacity,,
TotCapacityAnn,483.61828869705136,,STOCKHOLM,,,,,,,,,,VVNHP,2043.0,ResidualCapacity,,
TotCapacityAnn,540.0000000000001,,STOCKHOLM,,,,,,,,,,VVNHP,2044.0,ResidualCapacity,,
