NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2023,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2024,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2025,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2026,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2027,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2028,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2029,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2030,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2031,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2032,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2033,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2034,,,
NewCapacity,121.40332703526028,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2035,,,
NewCapacity,110.32808149490185,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2036,,,
NewCapacity,101.95271290602321,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2037,,,
NewCapacity,66.31587856381464,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2038,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2039,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2040,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2041,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2042,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2043,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2044,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2045,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2046,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2047,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2048,,,
NewCapacity,0.0,0.0,STOCKHOLM,,,,,,,,,,BristaB1,2049,,,
NewCapacity,10.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2023,,,
NewCapacity,10.0,0.0,STOCKHOLM,,,,,,,,,,BristaB2,2024,,,
